,D1a2a,D1a1a1,D1a1a2,C1,C2b,C2c1,C2c2,N1a,N1b,N1b2a,O1a,O1b1a1,O1b1a2,O1b2,O2a1a,O2a1c,O2a2a,O2a2a1a1a,O2a2b1a2,O2a2b1a2a1b,O2a2b1a1,O2a2b1a1a6b1,O2a2b2,O2b,其他O,R,Q1a1a,其他Q,IJHLGE,F2
,P47,N1,F1070,F3393,L1373,F2613,CTS4660,F1206,F2930,M1811,M119,PK4,Page59,P49,F1876,002611,F188,M159,F114,SK1756,M117,SK1730,N6,F742,-,M207,M120,-,-,M427
黑龙江汉,0.3,2.1,0,0,3.3,11.9,0,4.4,2,0,4.6,2.1,5.2,1.4,1.3,16.5,3,0.4,13,0,15.7,0,3.2,0.8,0.2,1.9,2.4,0.4,0.7,0
吉林汉,0.2,2.3,0,0,1,9.8,0,2.4,3.3,0,6.4,1.6,4.3,1.1,1.5,17.6,3.9,0.2,12.2,0,18.4,0.2,4.8,1.3,0,1.1,4.5,0.2,0.5,0
辽宁汉,0.3,1.6,0.1,0,3.3,11.6,0,3.2,2.8,0,6.6,2.5,4.1,1.1,1.9,15.5,3.6,0.2,12,0.1,17.7,0.1,3.5,1.8,0.2,1.1,2.5,0.2,1,0
河北汉,0.3,1.2,0,0.1,1.2,9.5,0,4.1,2.7,0,4.7,2.4,3.5,1.3,1.5,17.3,3.3,0.1,16.5,0.1,17.5,0.1,4.8,1.2,0.2,1.5,3.5,0.4,1.2,0
山西汉,0.3,1.8,0,0,2.7,9.1,0,3.4,4,0,4.2,2.7,2.8,0.7,1.5,17.4,3.8,0.2,12.7,0,13.9,0,5.3,1.1,0,3.7,5.7,1.2,1.5,0
陕西汉,1.5,2.6,0.1,0.1,2.2,9.5,0,2.9,5.2,0,5.7,3.3,2.8,1,1.1,17.4,3.9,0.5,14,0,13.3,0.2,3.5,1.3,0.1,3.3,3.2,0.4,1.1,0
甘肃汉,2,3,0,0.4,2.4,9.8,0,4.3,5.6,0,5.4,4.6,3,0.8,2.4,12.8,3.6,0.2,12.4,0,13,0.2,2.4,0.6,0,3.9,4.1,1,2.2,0
山东汉,0.2,1.5,0,0,0.9,12.3,0,3.8,3.5,0,4.5,1.7,5.9,0.9,1.8,17,3.5,0.2,14.4,0,17,0,4.3,1.5,0,1,2.3,0.4,0.7,0
河南汉,0.2,1.5,0.1,0,1.3,12.1,0,4.1,3,0,6.3,3.5,3.8,0.5,2.2,14.8,4.1,0.3,12.5,0,17.7,0,4.6,0.9,0,2.1,2.8,0.3,1.7,0
安徽中原,0,1.5,0,0.3,1.3,7.6,0.3,2.8,2.5,0,8.4,2.5,3.8,0.3,3.3,14.9,4.3,0.3,16.5,0,16.7,0,4.6,2.5,0,1.3,3.8,0.3,1,0
安徽洪巢,0,0.9,0.4,0,0.4,7,0.2,1.6,5.1,0,14.5,5.6,3,0.2,4.2,20.5,4.4,0.2,14,0,11.7,0,2.3,0.7,0.2,0.9,2.3,0.2,0.5,0
江苏洪巢,0,0.9,0.3,0,0.3,10.5,0,2.1,3,0,14,4.3,5.2,0.6,2.6,13.8,5,0.6,14.1,0.2,15.1,0.2,3.5,2.4,0.1,0.3,2.2,0.2,0.7,0
江苏通泰,0,0.6,0,0.2,0.4,11.4,0.2,2.2,3.4,0,17.3,2.6,2.8,0,2.5,14.4,5,0.2,13,0,13.4,0.2,5,1.4,0,0.6,3.2,0,0.6,0
江苏吴语,0,0.8,0,0,0.3,8.2,0,2,4.4,0.1,21.5,2.8,3.1,0.3,2.4,14.7,6.1,0.4,13.5,0,11.8,0,3.9,2.1,0,0.4,2,0.1,0.3,0
浙江北吴,0.1,0.5,0,0.1,0.2,7.2,0.1,2,3.2,0.1,23.5,4.6,2.4,0.2,3.7,15.8,3.5,0.3,11.6,0,12.7,0.2,2.7,2.5,0.1,0.8,1.8,0,0.2,0
浙江南吴,0,0.6,0.2,0,0.1,4.7,0.2,1.8,3.6,0.1,21,5.4,3.3,0,3.9,15,3.1,0.8,8.2,0.3,21.4,0.4,3.2,2,0.2,0.2,2.1,0,0.3,0
湖北汉,0,1.5,0.6,0,0.3,7.7,0.1,0.7,3,0.3,16,9.1,2.7,0.7,4.2,16,4.5,0.7,10,0,15.7,0.3,1.8,0.8,0.1,0.4,2.6,0,0.3,0.1
湖南汉,0,1.1,1.6,0.3,0.1,4.1,0.4,1.7,2.6,0.6,16.4,13,1.7,0.9,3.2,17.2,6.4,1,9.2,0.3,15,0.5,1.7,0.4,0.3,0.2,2.2,0,0,0
江西汉,0.1,0.6,0.5,0,0.2,3.6,0.3,1.6,2.4,0.3,19.8,9.5,3,0.3,4.5,18.9,7.1,2.6,8.2,0.1,14.1,0.2,1.9,1.1,0,0.1,2.2,0,0,0
重庆汉,0.1,1.9,0.6,0.3,0.2,4.3,0.6,1.5,4.4,0.6,17.2,11.7,3,0.3,2.5,12.5,6.3,0.6,10.2,0.2,16.6,0.4,1.2,1.1,0,0.3,2.6,0,0.4,0.1
四川汉,0.2,2.8,1.1,0.5,0.5,7.4,0.3,2.2,5.1,0.5,13,10.2,2.5,0.4,2.2,13.4,6,0.9,10.8,0.4,15.7,0.5,1.9,0.9,0.3,0.5,2.2,0.1,0.5,0.1
贵州汉,0,3.3,1.5,1.1,0.4,6.3,0,2.6,6.3,1.1,14.1,11.1,1.5,0,2.2,10.7,5.6,0.7,11.5,0,15.9,0.4,2.2,0.4,0,0,3,0,0,0.4
云南汉,0,2.1,0.6,0.6,0.6,6.7,0,3.6,2.7,0.3,10.5,10.5,3.3,0.3,2.4,10.8,5.1,0.9,10.5,0,17.6,0.3,2.1,0.9,0.3,1.2,3.9,0.3,0.6,1.8
福建汉,0.1,0.2,0.3,0.2,0.1,3.8,0.4,2.8,4.9,0,15,7.7,3,0.3,2.7,9.6,4.6,2.4,9,0.6,28.8,1.5,3,1.7,0.1,0.5,0.4,0,0.3,0
广东潮汕,0,0.4,0.4,0.2,0,4.7,0.2,1.5,3,0.3,17.3,6,6.4,0,2.9,15,7.5,6,6.9,0.4,23.5,0.7,1.1,1.6,0,0,0.7,0,0,0.2
广东客家,0,0.5,1.2,0.2,0,4,1.2,1,1.9,0.3,16.4,14.4,1.7,0,2.4,14,10.5,5.5,7.9,0.7,21.3,3,1.5,2.2,0,0.2,1,0,0,0
广东粤语,0,0.2,1.8,0,0.2,4,3.6,0.9,3.7,1.8,15.7,16.4,1.7,0.1,3,10.6,8.6,2.6,6,0.5,18.8,7,1.2,1.7,0.5,0.3,0.8,0,0.5,0.4
广西汉,0,0.3,5.4,0,0,2.4,2.4,0.3,4.2,1.2,14.9,20.2,0.6,0,2.1,8.7,8.6,1.2,8.1,1.5,17.8,8,0.3,1.5,1.2,0,0.6,0,0.6,0
